M_PER,SD_PER,n_PER,M_OVU,SD_OVU,n_OVU,M_LUT,SD_LUT,n_LUT,n_komplett,Test,Chi2,Teststatistik,df,p_wert,Signifikant,Kendalls_W,W_interpretation,p_posthoc_min,Uebung,Muskel,Abschnitt,Kennwert,posthoc_PER_OVU_p,posthoc_PER_LUT_p,posthoc_OVU_LUT_p
24.094954651261354,10.587543369498771,10,26.40284334933886,13.837827709476297,10,32.31056578946156,14.999654385983606,10,10,Friedman,0.8000000000000114,"0,800",2,0.6703200460356356,nein,0.04000000000000057,vernachlaessigbar,,CMJ bilateral,Biceps Femoris,Landung,mean_emg,,,
43.10019312496592,20.651660048284384,10,51.24678324525481,27.4910572074703,10,59.05871650589911,37.076591073127304,10,10,Friedman,0.6000000000000085,"0,600",2,0.7408182206817147,nein,0.030000000000000426,vernachlaessigbar,,CMJ bilateral,Biceps Femoris,Landung,peak_emg,,,
20.121808363120447,7.367007140229382,10,22.28329771522977,9.731324927818594,10,19.80052282343889,9.246234971291273,10,10,Friedman,0.20000000000000284,"0,200",2,0.9048374180359583,nein,0.010000000000000142,vernachlaessigbar,,CMJ bilateral,Gastrocnemius Medialis,Landung,mean_emg,,,
58.48098461614198,25.546521238391254,10,53.15708141371205,20.13554364865539,10,43.943430678886585,19.550279696292417,10,10,Friedman,1.4000000000000057,"1,400",2,0.496585303791408,nein,0.07000000000000028,vernachlaessigbar,,CMJ bilateral,Gastrocnemius Medialis,Landung,peak_emg,,,
23.404061942307262,13.601494653898083,10,25.878373086322217,9.747587774126174,10,37.39419393165401,22.805336161476827,10,10,Friedman,6.200000000000003,"6,200",2,0.04504920239355775,ja,0.31000000000000016,schwach,0.111328125,CMJ bilateral,Gluteus Medius,Landung,mean_emg,0.966796875,0.111328125,0.31640625
44.63213314399276,23.16090977237007,10,60.58682757410556,23.70137648389553,10,65.40095003729986,33.04574316837286,10,10,Friedman,4.200000000000003,"4,200",2,0.12245642825298172,nein,0.21000000000000013,schwach,,CMJ bilateral,Gluteus Medius,Landung,peak_emg,,,
26.064932077162997,10.968999899452784,10,23.797930628821298,8.185206790332433,10,31.624501456817303,17.29134602782239,10,10,Friedman,0.6000000000000085,"0,600",2,0.7408182206817147,nein,0.030000000000000426,vernachlaessigbar,,CMJ bilateral,Semitendinosus,Landung,mean_emg,,,
55.41287973873824,20.675798655267556,10,47.74317175494752,14.025749390005464,10,59.29118610414275,26.04800827338791,10,10,Friedman,2.6000000000000085,"2,600",2,0.2725317930340115,nein,0.13000000000000042,schwach,,CMJ bilateral,Semitendinosus,Landung,peak_emg,,,
30.149078909050928,15.43583904958354,10,47.09033771139245,9.76704029863362,10,50.83919127690771,13.334347075544034,10,10,Friedman,12.200000000000017,"12,200",2,0.0022428677194857843,ja,0.6100000000000009,moderat,0.005859375,CMJ bilateral,Vastus Lateralis,Landung,mean_emg,0.08203125,0.005859375,1.0
48.35471793749599,24.453165077609412,10,77.68476186939407,14.284487122003524,10,90.67427257920266,35.83441930790954,10,10,Friedman,10.400000000000006,"10,400",2,0.005516564420760756,ja,0.5200000000000002,moderat,0.005859375,CMJ bilateral,Vastus Lateralis,Landung,peak_emg,0.08203125,0.005859375,1.0
32.16384894614195,13.85710272660662,11,31.533621049273428,13.24128919388813,11,43.7425487040926,10.281857964630953,11,11,Friedman,5.0909090909090935,"5,091",2,0.07843739051713058,nein,0.23140495867768607,schwach,,CMJ einbeinig R,Biceps Femoris,Landung,mean_emg,,,
57.68340136630024,21.919159736369505,11,58.48024995989559,17.916146492379845,11,78.18389526635707,20.913720910216252,11,11,Friedman,2.363636363636374,"2,364",2,0.30672055757655525,nein,0.1074380165289261,schwach,,CMJ einbeinig R,Biceps Femoris,Landung,peak_emg,,,
32.45979035441599,10.091722990138257,11,29.640149781559696,7.4239253285839295,11,24.74406673535111,8.96901503278644,11,11,Friedman,2.9090909090909065,"2,909",2,0.2335064790909137,nein,0.13223140495867758,schwach,,CMJ einbeinig R,Gastrocnemius Medialis,Landung,mean_emg,,,
83.9333283923873,22.128125275504946,11,65.61804639922819,19.231193901680065,11,56.501569899620264,21.452993766298597,11,11,Friedman,7.0909090909090935,"7,091",2,0.02885550339038819,ja,0.32231404958677695,schwach,0.0966796875,CMJ einbeinig R,Gastrocnemius Medialis,Landung,peak_emg,0.1259765625,0.0966796875,1.0
53.1414379705087,27.84494951396276,11,54.78781153555187,30.928127819219075,11,77.70283377320715,31.999764045639033,11,11,Friedman,6.7272727272727195,"6,727",2,0.03460917828870062,ja,0.3057851239669418,schwach,0.1259765625,CMJ einbeinig R,Gluteus Medius,Landung,mean_emg,1.0,0.2021484375,0.1259765625
84.52718249323355,36.842814826345084,11,88.22223535732084,48.57067591967823,11,121.65223276030991,49.284515142744,11,11,Friedman,3.4545454545454675,"3,455",2,0.17776857282813668,nein,0.15702479338843034,schwach,,CMJ einbeinig R,Gluteus Medius,Landung,peak_emg,,,
44.1820285141548,22.593751234124277,11,43.21444614117298,16.76945301362921,11,42.11839553935186,14.751424194442187,11,11,Friedman,2.181818181818187,"2,182",2,0.3359109812391617,nein,0.0991735537190085,vernachlaessigbar,,CMJ einbeinig R,Semitendinosus,Landung,mean_emg,,,
68.38435634222104,37.114700452026504,11,73.40836270564056,21.5357478770327,11,70.18764170973178,22.66579460616306,11,11,Friedman,2.9090909090909065,"2,909",2,0.2335064790909137,nein,0.13223140495867758,schwach,,CMJ einbeinig R,Semitendinosus,Landung,peak_emg,,,
39.00674079389105,17.800077987027557,11,43.94335787793017,8.233284875704971,11,52.96094293177884,15.914781983793054,11,11,Friedman,2.9090909090909065,"2,909",2,0.2335064790909137,nein,0.13223140495867758,schwach,,CMJ einbeinig R,Vastus Lateralis,Landung,mean_emg,,,
