M_PER,SD_PER,n_PER,M_OVU,SD_OVU,n_OVU,M_LUT,SD_LUT,n_LUT,n_komplett,SW_stat_PER,SW_p_PER,SW_stat_OVU,SW_p_OVU,SW_stat_LUT,SW_p_LUT,Normalverteilung,SW_detail,Test,Chi2,Teststatistik,df,p_wert,Signifikant,Kendalls_W,Mauchly_p,Sphaerizitaet_verletzt,GG_Korrektur,eta2_p,eta2_interpretation,Uebung,Muskel,Abschnitt,Kennwert,F,posthoc_PER_OVU_p,posthoc_PER_LUT_p,posthoc_OVU_LUT_p
32.32156201110476,21.12388640388183,11,36.10432711298374,21.548515859195305,11,37.84778255088269,21.349041560953786,11,11,0.9053078274148672,0.21437692140817477,0.9159330163860764,0.28620783275756045,0.9572042448543928,0.7363950378332544,ja,"PER: 0,214
OVU: 0,286
LUT: 0,736",ANOVA,,"0,494","2, 20",0.6172294741648712,nein,,0.5612390741217881,nein,nein,0.047105839230544955,klein,CMJ einbeinig R,Gluteus Medius,Gesamt,mean_rms,0.4943449248603574,,,
97.83004518750136,60.63326205956485,11,121.75164782994017,103.72668612495379,11,102.08812985361095,63.17287768245335,11,11,0.9179392101226627,0.3018481712696901,0.8133188176248309,0.014085813334396492,0.9406310523684261,0.5279453130816902,nein,"PER: 0,302
OVU: 0,014
LUT: 0,528",Friedman,0.18181818181818699,"0,182",2,0.91310071628226,nein,0.00826446280991759,,,,,,CMJ einbeinig R,Gluteus Medius,Gesamt,peak_rms,,,,
47.052746547321846,31.186113441923133,11,63.87195002478636,56.445063452699856,11,56.32585058502929,40.88045175393634,11,11,0.8902748662758738,0.1401721552438508,0.832080322706341,0.02486173318367914,0.8510324704489678,0.044021522612595364,nein,"PER: 0,140
OVU: 0,025
LUT: 0,044",Friedman,0.18181818181818699,"0,182",2,0.91310071628226,nein,0.00826446280991759,,,,,,CMJ einbeinig R,Gluteus Medius,Landung,mean_rms,,,,
84.04902631908521,50.63213806568957,11,115.23944082997724,105.82574593977931,11,90.20843051403457,63.27732820224396,11,11,0.9095285040026488,0.24077534354215907,0.8231531687653232,0.018975569465898772,0.8965860082245124,0.16785867746331523,nein,"PER: 0,241
OVU: 0,019
LUT: 0,168",Friedman,0.7272727272727195,"0,727",2,0.6951439283988814,nein,0.03305785123966907,,,,,,CMJ einbeinig R,Gluteus Medius,Landung,peak_rms,,,,
36.0616664312751,16.964023886048427,11,27.832722794650532,11.532690972458004,11,30.249408297448216,11.100299291636407,11,11,0.9375388587650063,0.49201115198233847,0.9318918644364926,0.4303076250442871,0.8929464025076287,0.15133066433399006,ja,"PER: 0,492
OVU: 0,430
LUT: 0,151",ANOVA,,"3,485","2, 20",0.05029246842392393,nein,,3.1407018227111885,nein,nein,0.25843317094495516,gross,CMJ einbeinig R,Semitendinosus,Gesamt,mean_rms,3.4849613119058787,,,
101.70485526373437,45.3222850630537,11,85.02177982968037,32.466569132774524,11,93.7253503160251,40.365621989501705,11,11,0.9617569015252702,0.793405482048221,0.9107687011001925,0.24905391681599692,0.9570751226226704,0.7347489809708119,ja,"PER: 0,793
OVU: 0,249
LUT: 0,735",ANOVA,,"1,182","2, 20",0.3272280290590829,nein,,0.8355702993129729,nein,nein,0.1056962545062634,mittel,CMJ einbeinig R,Semitendinosus,Gesamt,peak_rms,1.1818831693241931,,,
44.37354707990961,25.068292553254675,11,34.7742788404886,11.937069055446958,11,41.82478491704644,18.367834996868115,11,11,0.9014246906125865,0.19239343350434884,0.8078642091122614,0.011939238573848345,0.964004940059307,0.8204443247539108,nein,"PER: 0,192
OVU: 0,012
LUT: 0,820",Friedman,2.363636363636374,"2,364",2,0.30672055757655525,nein,0.1074380165289261,,,,,,CMJ einbeinig R,Semitendinosus,Landung,mean_rms,,,,
80.19065775255183,47.75718246344565,11,67.41027023581543,21.051066631374525,11,80.30808962734305,40.31242358111572,11,11,0.8836213581857354,0.1156358433898792,0.7397476858938994,0.0015282346290044293,0.970298767249246,0.8895278942673559,nein,"PER: 0,116
OVU: 0,002
LUT: 0,890",Friedman,0.545454545454561,"0,545",2,0.7613003866968678,nein,0.02479338842975277,,,,,,CMJ einbeinig R,Semitendinosus,Landung,peak_rms,,,,
37.99399887185472,32.077827261076635,11,25.519883192314264,14.8886632505765,11,47.3467434579197,42.3888776263572,11,11,0.8910765401689041,0.14343748780207588,0.890712880384412,0.14194756377263906,0.8016719885833297,0.009896135400294104,nein,"PER: 0,143
OVU: 0,142
LUT: 0,010",Friedman,8.909090909090907,"8,909",2,0.011625603038838514,ja,0.4049586776859503,,,,,,CMJ einbeinig R,Vastus Lateralis,Gesamt,mean_rms,,0.2490234375,1.0,0.005859375
110.7301374189227,91.39161430546979,11,69.15372617332984,38.90628678998185,11,139.1865976386501,129.539300095985,11,11,0.8884628302274407,0.133045410635297,0.8731193284411498,0.08500631364232454,0.7965297741971862,0.008468271341664176,nein,"PER: 0,133
OVU: 0,085
LUT: 0,008",Friedman,8.909090909090907,"8,909",2,0.011625603038838514,ja,0.4049586776859503,,,,,,CMJ einbeinig R,Vastus Lateralis,Gesamt,peak_rms,,0.1259765625,1.0,0.005859375
